X,Y,Nedbor,Month
1.0,0.5,50.0,1.0
1.0,0.5,54.0,2.0
1.0,0.5,55.0,3.0
1.0,0.5,45.0,4.0
1.0,0.5,54.0,5.0
1.0,0.5,54.0,6.0
1.0,0.5,59.0,7.0
1.0,0.5,85.0,8.0
1.0,0.5,75.0,9.0
1.0,0.5,88.0,10.0
1.0,0.5,79.0,11.0
1.0,0.5,103.0,12.0
1.0,8.0,112.0,1.0
1.0,8.0,104.0,2.0
1.0,8.0,118.0,3.0
1.0,8.0,65.0,4.0
1.0,8.0,70.0,5.0
1.0,8.0,80.0,6.0
1.0,8.0,104.0,7.0
1.0,8.0,117.0,8.0
1.0,8.0,127.0,9.0
1.0,8.0,119.0,10.0
1.0,8.0,178.0,11.0
1.0,8.0,189.0,12.0
2.0,2.0,85.0,1.0
2.0,2.0,103.0,2.0
2.0,2.0,113.0,3.0
2.0,2.0,70.0,4.0
2.0,2.0,70.0,5.0
2.0,2.0,79.0,6.0
2.0,2.0,110.0,7.0
2.0,2.0,141.0,8.0
2.0,2.0,107.0,9.0
2.0,2.0,104.0,10.0
2.0,2.0,162.0,11.0
2.0,2.0,178.0,12.0
2.0,9.0,111.0,1.0
2.0,9.0,144.0,2.0
2.0,9.0,125.0,3.0
2.0,9.0,91.0,4.0
2.0,9.0,91.0,5.0
2.0,9.0,94.0,6.0
2.0,9.0,158.0,7.0
2.0,9.0,171.0,8.0
2.0,9.0,166.0,9.0
2.0,9.0,151.0,10.0
2.0,9.0,228.0,11.0
2.0,9.0,206.0,12.0
3.0,1.0,91.0,1.0
3.0,1.0,83.0,2.0
3.0,1.0,102.0,3.0
3.0,1.0,74.0,4.0
3.0,1.0,75.0,5.0
3.0,1.0,70.0,6.0
3.0,1.0,99.0,7.0
3.0,1.0,95.0,8.0
3.0,1.0,108.0,9.0
3.0,1.0,96.0,10.0
3.0,1.0,109.0,11.0
3.0,1.0,163.0,12.0
5.0,2.0,126.0,1.0
5.0,2.0,123.0,2.0
5.0,2.0,141.0,3.0
5.0,2.0,99.0,4.0
5.0,2.0,76.0,5.0
5.0,2.0,114.0,6.0
5.0,2.0,139.0,7.0
5.0,2.0,115.0,8.0
5.0,2.0,127.0,9.0
5.0,2.0,144.0,10.0
5.0,2.0,157.0,11.0
5.0,2.0,238.0,12.0
6.0,1.0,123.0,1.0
6.0,1.0,97.0,2.0
6.0,1.0,103.0,3.0
6.0,1.0,77.0,4.0
6.0,1.0,75.0,5.0
6.0,1.0,78.0,6.0
6.0,1.0,161.0,7.0
6.0,1.0,128.0,8.0
6.0,1.0,170.0,9.0
6.0,1.0,140.0,10.0
6.0,1.0,183.0,11.0
6.0,1.0,249.0,12.0
6.0,7.0,101.0,1.0
6.0,7.0,109.0,2.0
6.0,7.0,116.0,3.0
6.0,7.0,89.0,4.0
6.0,7.0,76.0,5.0
6.0,7.0,89.0,6.0
6.0,7.0,125.0,7.0
6.0,7.0,140.0,8.0
6.0,7.0,115.0,9.0
6.0,7.0,176.0,10.0
6.0,7.0,154.0,11.0
6.0,7.0,229.0,12.0
7.0,5.0,144.0,1.0
7.0,5.0,200.0,2.0
7.0,5.0,156.0,3.0
7.0,5.0,173.0,4.0
7.0,5.0,135.0,5.0
7.0,5.0,114.0,6.0
7.0,5.0,215.0,7.0
7.0,5.0,211.0,8.0
7.0,5.0,168.0,9.0
7.0,5.0,241.0,10.0
7.0,5.0,234.0,11.0
7.0,5.0,351.0,12.0
8.0,6.0,174.0,1.0
8.0,6.0,204.0,2.0
8.0,6.0,223.0,3.0
8.0,6.0,154.0,4.0
8.0,6.0,124.0,5.0
8.0,6.0,168.0,6.0
8.0,6.0,238.0,7.0
8.0,6.0,186.0,8.0
8.0,6.0,267.0,9.0
8.0,6.0,184.0,10.0
8.0,6.0,235.0,11.0
8.0,6.0,395.0,12.0
9.0,5.0,311.0,1.0
9.0,5.0,208.0,2.0
9.0,5.0,284.0,3.0
9.0,5.0,198.0,4.0
9.0,5.0,150.0,5.0
9.0,5.0,169.0,6.0
9.0,5.0,225.0,7.0
9.0,5.0,297.0,8.0
9.0,5.0,275.0,9.0
9.0,5.0,265.0,10.0
9.0,5.0,471.0,11.0
9.0,5.0,438.0,12.0
10.0,0.5,194.0,1.0
10.0,0.5,159.0,2.0
10.0,0.5,133.0,3.0
10.0,0.5,204.0,4.0
10.0,0.5,125.0,5.0
10.0,0.5,141.0,6.0
10.0,0.5,210.0,7.0
10.0,0.5,381.0,8.0
10.0,0.5,400.0,9.0
10.0,0.5,225.0,10.0
10.0,0.5,198.0,11.0
10.0,0.5,184.0,12.0
10.0,2.0,169.0,1.0
10.0,2.0,154.0,2.0
10.0,2.0,227.0,3.0
10.0,2.0,164.0,4.0
10.0,2.0,121.0,5.0
10.0,2.0,177.0,6.0
10.0,2.0,182.0,7.0
10.0,2.0,338.0,8.0
10.0,2.0,283.0,9.0
10.0,2.0,211.0,10.0
10.0,2.0,191.0,11.0
10.0,2.0,261.0,12.0
11.0,9.0,235.0,1.0
11.0,9.0,182.0,2.0
11.0,9.0,236.0,3.0
11.0,9.0,151.0,4.0
11.0,9.0,131.0,5.0
11.0,9.0,179.0,6.0
11.0,9.0,189.0,7.0
11.0,9.0,450.0,8.0
11.0,9.0,322.0,9.0
11.0,9.0,303.0,10.0
11.0,9.0,234.0,11.0
11.0,9.0,248.0,12.0
12.0,1.5,168.0,1.0
12.0,1.5,174.0,2.0
12.0,1.5,165.0,3.0
12.0,1.5,152.0,4.0
12.0,1.5,136.0,5.0
12.0,1.5,220.0,6.0
12.0,1.5,175.0,7.0
12.0,1.5,360.0,8.0
12.0,1.5,308.0,9.0
12.0,1.5,328.0,10.0
12.0,1.5,187.0,11.0
12.0,1.5,205.0,12.0
12.0,5.0,350.0,1.0
12.0,5.0,282.0,2.0
12.0,5.0,294.0,3.0
12.0,5.0,348.0,4.0
12.0,5.0,218.0,5.0
12.0,5.0,324.0,6.0
12.0,5.0,403.0,7.0
12.0,5.0,499.0,8.0
12.0,5.0,499.0,9.0
12.0,5.0,499.0,10.0
12.0,5.0,396.0,11.0
12.0,5.0,413.0,12.0
